,ABETF,ADTY,AEDC,AERN,AGGHF,AGYTF,ALTMW,AST:LN,BEAG,BLKCF,CCGM,ECIGQ,FRONW,FSAM,GADS,GNOW,IKNX,ISOL,LPHM,MFST,MRRCF,NEBUW,NMOC,SDCJF,SNOAW,SRTI,SUWN,TLOG,UNSS,XELAU,XTNTW,YRLLF,YWRLD,ZENG,ZULU
marketCap,4198770,2177719,20466,1488729,2322469,147607725,461596341,N/A,2302766,5507474,400797,326350,230682634,293369,19025132,229044,36708970,786018,1819471,4031300,3036934,241876250,57762,1134486,3555,1410578,14233819,965994,27024749,82276896,0,2365872,3336060,53623,318037
cond_1,False,False,False,False,False,True,False,N/A,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
float,37555498,N/A,N/A,N/A,65008480,359772668,3010580,N/A,36633931,122212983,N/A,99180650,N/A,17742054,219220044,6666743,872590,N/A,N/A,105067297,197325653,16188318,N/A,N/A,N/A,N/A,189459515,21769052,N/A,35500409,N/A,136566911,N/A,N/A,N/A
cond_2,True,N/A,N/A,N/A,False,False,True,N/A,True,False,N/A,False,N/A,True,False,True,False,N/A,N/A,False,False,True,N/A,N/A,N/A,N/A,False,True,N/A,True,N/A,False,N/A,N/A,N/A
last price,0.0782,0.09,0.0002,0.001,0.025,0.23,0.0599,4.25,0.03,0.044,0.02,0.003,1.4832,0.0144,0.05,0.0138,18.56,0.238,0.44,0.0019,0.0128,2.85,0.0005,0.165,0.002,0.028,0.07131,0.039,0.045,2.01,0.019,0.0173,0.166,0.0001,0.0379
cond_3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
volume,5000,100,300,37075,18166,3100,159195,56568,10271,1207100,10955,10150,3001,3001,2450,30600,12967587,9131,94276,1092572867,3230,627243,30000,140,201079,350,90553,2000,7800,900,22722,186430,6030,77777,1300
cond_4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
predicted intraday volume,20000,400,1200,148300,72664,12400,636780,226272,41084,4828400,43820,40600,12004,12004,9800,122400,51870348,36524,377104,4370291468,12920,2508972,120000,560,804316,1400,362212,8000,31200,3600,90888,745720,24120,311108,5200
float rotation,0.0,N/A,N/A,N/A,0.0,0.0,0.21,N/A,0.0,0.04,N/A,0.0,N/A,0.0,0.0,0.02,59.44,N/A,N/A,41.6,0.0,0.15,N/A,N/A,N/A,N/A,0.0,0.0,N/A,0.0,N/A,0.01,N/A,N/A,N/A
cond_5,True,N/A,N/A,N/A,True,True,True,N/A,True,True,N/A,True,N/A,True,True,True,False,N/A,N/A,False,True,True,N/A,N/A,N/A,N/A,True,True,N/A,True,N/A,True,N/A,N/A,N/A
